,accuracy,precision,recall,f1,roc_auc,C,degree,gamma,kernel
222,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,8,0.01291549665014884,linear
225,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,8,0.0774263682681127,linear
228,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,8,0.4641588833612782,linear
231,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,8,2.782559402207126,linear
234,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,8,16.68100537200059,linear
237,0.9516425120772948,0.99375,0.8731617647058822,0.92847212390872,0.9907092147203708,0.0021544346900318843,8,100.0,linear
371,0.9516425120772948,1.0,0.8672794117647058,0.9278856136447904,0.9888329469718922,0.4641588833612782,1,0.0021544346900318843,rbf
401,0.9516425120772948,1.0,0.8672794117647058,0.9278856136447904,0.9888329469718922,0.4641588833612782,8,0.0021544346900318843,rbf
448,0.9537681159420288,0.9484588923288612,0.9275735294117646,0.9351640973914088,0.9785243407707912,2.782559402207126,1,100.0,poly
505,0.9537681159420288,0.9484588923288612,0.9275735294117646,0.9351640973914088,0.9785243407707912,16.68100537200059,1,16.68100537200059,poly
562,0.9537681159420288,0.9484588923288612,0.9275735294117646,0.9351640973914088,0.9785243407707912,100.0,1,2.782559402207126,poly
508,0.9537681159420291,0.9438639490884072,0.9334558823529412,0.9356986171621716,0.9777256592292092,16.68100537200059,1,100.0,poly
565,0.9537681159420291,0.9438639490884072,0.9334558823529412,0.9356986171621716,0.9777256592292092,100.0,1,16.68100537200059,poly
568,0.9537681159420291,0.9438639490884072,0.9334558823529412,0.9356986171621716,0.9777256592292092,100.0,1,100.0,poly
540,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,1,1e-05,linear
543,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,1,5.994842503189409e-05,linear
546,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,1,0.00035938136638046257,linear
549,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,1,0.0021544346900318843,linear
552,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,1,0.01291549665014884,linear
555,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,1,0.0774263682681127,linear
558,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,1,0.4641588833612782,linear
561,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,1,2.782559402207126,linear
564,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,1,16.68100537200059,linear
567,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,1,100.0,linear
570,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,8,1e-05,linear
573,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,8,5.994842503189409e-05,linear
576,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,8,0.00035938136638046257,linear
579,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,8,0.0021544346900318843,linear
582,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,8,0.01291549665014884,linear
585,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,8,0.0774263682681127,linear
588,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,8,0.4641588833612782,linear
591,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,8,2.782559402207126,linear
594,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,8,16.68100537200059,linear
597,0.9559420289855072,0.9476307189542484,0.9334558823529412,0.9380558024605332,0.9773073022312372,100.0,8,100.0,linear
377,0.9582125603864734,0.9388235294117648,0.9514705882352942,0.943343084925235,0.989441466241669,0.4641588833612782,1,0.0774263682681127,rbf
407,0.9582125603864734,0.9388235294117648,0.9514705882352942,0.943343084925235,0.989441466241669,0.4641588833612782,8,0.0774263682681127,rbf
388,0.9582125603864734,0.9598039215686274,0.9275735294117646,0.9408639257098328,0.9807573891625616,0.4641588833612782,1,100.0,poly
445,0.9582125603864734,0.9598039215686274,0.9275735294117646,0.9408639257098328,0.9807573891625616,2.782559402207126,1,16.68100537200059,poly
502,0.9582125603864734,0.9598039215686274,0.9275735294117646,0.9408639257098328,0.9807573891625616,16.68100537200059,1,2.782559402207126,poly
559,0.9582125603864734,0.9598039215686274,0.9275735294117646,0.9408639257098328,0.9807573891625616,100.0,1,0.4641588833612782,poly
88,0.9582125603864734,1.0,0.8852941176470587,0.9381813125695216,0.9921616922631122,5.994842503189409e-05,1,100.0,poly
145,0.9582125603864734,1.0,0.8852941176470587,0.9381813125695216,0.9921616922631122,0.00035938136638046257,1,16.68100537200059,poly
202,0.9582125603864734,1.0,0.8852941176470587,0.9381813125695216,0.9921616922631122,0.0021544346900318843,1,2.782559402207126,poly
259,0.9582125603864734,1.0,0.8852941176470587,0.9381813125695216,0.9921616922631122,0.01291549665014884,1,0.4641588833612782,poly
316,0.9582125603864734,1.0,0.8852941176470587,0.9381813125695216,0.9921616922631122,0.0774263682681127,1,0.0774263682681127,poly
373,0.9582125603864734,1.0,0.8852941176470587,0.9381813125695216,0.9921616922631122,0.4641588833612782,1,0.01291549665014884,poly
430,0.9582125603864734,1.0,0.8852941176470587,0.9381813125695216,0.9921616922631122,2.782559402207126,1,0.0021544346900318843,poly
487,0.9582125603864734,1.0,0.8852941176470587,0.9381813125695216,0.9921616922631122,16.68100537200059,1,0.00035938136638046257,poly
544,0.9582125603864734,1.0,0.8852941176470587,0.9381813125695216,0.9921616922631122,100.0,1,5.994842503189409e-05,poly
374,0.9603864734299516,0.99375,0.8970588235294118,0.9419875198031482,0.9930183280208634,0.4641588833612782,1,0.01291549665014884,rbf
404,0.9603864734299516,0.99375,0.8970588235294118,0.9419875198031482,0.9930183280208634,0.4641588833612782,8,0.01291549665014884,rbf
437,0.962512077294686,0.94765590446705,0.9514705882352942,0.948461081402258,0.9897873804694292,2.782559402207126,1,0.0774263682681127,rbf
467,0.962512077294686,0.94765590446705,0.9514705882352942,0.948461081402258,0.9897873804694292,2.782559402207126,8,0.0774263682681127,rbf
480,0.962657004830918,0.9548331613347092,0.9459558823529411,0.9482595990329254,0.985105766444509,16.68100537200059,1,1e-05,linear
483,0.962657004830918,0.9548331613347092,0.9459558823529411,0.9482595990329254,0.985105766444509,16.68100537200059,1,5.994842503189409e-05,linear
486,0.962657004830918,0.9548331613347092,0.9459558823529411,0.9482595990329254,0.985105766444509,16.68100537200059,1,0.00035938136638046257,linear
489,0.962657004830918,0.9548331613347092,0.9459558823529411,0.9482595990329254,0.985105766444509,16.68100537200059,1,0.0021544346900318843,linear
492,0.962657004830918,0.9548331613347092,0.9459558823529411,0.9482595990329254,0.985105766444509,16.68100537200059,1,0.01291549665014884,linear
495,0.962657004830918,0.9548331613347092,0.9459558823529411,0.9482595990329254,0.985105766444509,16.68100537200059,1,0.0774263682681127,linear
498,0.962657004830918,0.9548331613347092,0.9459558823529411,0.9482595990329254,0.985105766444509,16.68100537200059,1,0.4641588833612782,linear
501,0.962657004830918,0.9548331613347092,0.9459558823529411,0.9482595990329254,0.985105766444509,16.68100537200059,1,2.782559402207126,linear
