,accuracy,precision,recall,f1,roc_auc,n_neighbors,p,weights
116,0.9515942028985508,0.9861904761904764,0.8794117647058822,0.9291322007617892,0.9832738698927846,8,3,uniform
216,0.9515942028985508,0.9866071428571428,0.8794117647058822,0.9288988185526004,0.9860801217038538,15,4,uniform
200,0.9515942028985508,0.9866071428571428,0.8794117647058822,0.9291138723160416,0.9866913575775138,14,3,uniform
301,0.9515942028985508,0.9875,0.8790441176470587,0.9290647436545656,0.9861761083743844,21,4,distance
300,0.9515942028985508,0.9875,0.8790441176470587,0.9290647436545656,0.98638528687337,21,4,uniform
88,0.9515942028985508,0.9928571428571428,0.8731617647058822,0.9285139211918968,0.9805391553172992,6,3,uniform
560,0.9515942028985508,1.0,0.8669117647058823,0.9273721463001218,0.9876077586206896,40,1,uniform
78,0.9516425120772948,0.9759722222222222,0.8915441176470589,0.9302650732656292,0.9801642639814548,5,5,uniform
79,0.9516425120772948,0.9759722222222222,0.8915441176470589,0.9302650732656292,0.9817426108374384,5,5,distance
177,0.9516425120772948,0.9770676691729324,0.8911764705882353,0.9305210896506784,0.9863264271225732,12,5,distance
